dis.Name,RWR,Deepwalk,Node2Vec,LINE,HOPE,Laplacian
DOID:0001816,0.995029586,0.960857988,0.865650888,0.653076923,0.955147929,0.858284024
DOID:0014667,0.956944444,0.885,0.657222222,0.638611111,0.918055556,0.613333333
DOID:0040085,0.936225,0.859375,0.7499125,0.6019625,0.8702375,0.8193375
DOID:0050120,0.956,0.93,0.8248,0.7544,0.7412,0.7196
DOID:0050144,0.644693878,0.62,0.69244898,0.588163265,0.60755102,0.661428571
DOID:0050156,0.821818182,0.764008264,0.662644628,0.589710744,0.730950413,0.615785124
DOID:0050328,0.834722222,0.854479167,0.892881944,0.544722222,0.863576389,0.864583333
DOID:0050387,0.830485192,0.7902615,0.627802983,0.580624869,0.766354757,0.680909473
DOID:0050424,0.768884298,0.684090909,0.539917355,0.567479339,0.652768595,0.696198347
DOID:0050425,0.763333333,0.817777778,0.627777778,0.721111111,0.704444444,0.91
DOID:0050426,0.834166667,0.85,0.952222222,0.7525,0.9025,0.779444444
DOID:0050427,0.996388889,0.993472222,0.970694444,0.803611111,0.994583333,0.577777778
DOID:0050428,0.834791667,0.845729167,0.847361111,0.571631944,0.752118056,0.793125
DOID:0050429,0.795,0.913888889,0.858055556,0.678333333,0.956666667,0.934722222
DOID:0050439,0.79,0.813333333,0.895833333,0.778333333,0.824305556,0.6825
DOID:0050440,0.9724,0.9404,0.618,0.6276,0.9484,0.822
DOID:0050444,0.9993,0.9898,0.975,0.652,0.79345,0.91195
DOID:0050449,0.999375,1,0.999375,0.575625,0.990625,0.6075
DOID:0050451,0.751933594,0.8134375,0.751503906,0.528261719,0.783125,0.682832031
DOID:0050453,0.80765625,0.82859375,0.871015625,0.7665625,0.73046875,0.6528125
DOID:0050454,0.8728,0.7304,0.6154,0.626,0.9376,0.9184
DOID:0050458,0.926033951,0.900771605,0.879367284,0.684382716,0.908040123,0.697515432
DOID:0050460,0.6625,0.8075,0.7325,0.8875,0.8675,0.7775
DOID:0050466,0.98,0.953979592,0.961632653,0.784081633,0.989795918,0.74755102
DOID:0050467,0.817777778,0.798888889,0.8,0.621111111,0.851111111,0.951111111
DOID:0050469,0.9995,0.99355,0.9815,0.85745,0.9926,0.8586
DOID:0050477,0.797222222,0.848888889,0.731944444,0.740138889,0.703611111,0.894166667
DOID:0050523,0.798348765,0.733179012,0.713194444,0.544737654,0.807160494,0.762824074
DOID:0050524,0.918461538,0.888402367,0.852426036,0.680473373,0.815473373,0.83816568
DOID:0050534,0.84625,0.9452,0.90995,0.65135,0.84075,0.6582
DOID:0050535,0.7662,0.6802,0.7416,0.668,0.8106,0.5748
DOID:0050539,0.706388889,0.777777778,0.568472222,0.584861111,0.752777778,0.570416667
DOID:0050540,0.6616,0.6332,0.6396,0.6212,0.6584,0.5726
DOID:0050545,0.761111111,0.897777778,0.841111111,0.687777778,0.828888889,0.803333333
DOID:0050557,0.992533333,0.960111111,0.9106,0.736622222,0.912511111,0.7588
DOID:0050559,0.9025,0.77,0.73,0.915,0.7175,0.855
DOID:0050560,0.9975,0.95625,0.8475,0.668125,0.740625,0.504375
DOID:0050561,0.79,0.975,0.7525,0.6825,0.78,0.835
DOID:0050562,0.799140625,0.776523438,0.667148438,0.52375,0.787089844,0.75921875
DOID:0050565,0.837777778,0.796666667,0.9,0.59,0.925555556,0.692222222
DOID:0050566,0.735,0.885,0.925,0.645,0.8225,0.785
DOID:0050569,0.838110744,0.811834711,0.678642975,0.557195041,0.796957025,0.636844628
DOID:0050572,0.814155125,0.8283241,0.803019391,0.552631579,0.761565097,0.676537396
DOID:0050576,0.59617284,0.850432099,0.860740741,0.639320988,0.62654321,0.607098765
DOID:0050580,0.72125,0.751875,0.775625,0.6075,0.69,0.5575
DOID:0050588,0.893535156,0.927226563,0.81609375,0.64703125,0.848613281,0.710839844
DOID:0050589,0.858826531,0.833029337,0.761875,0.655095663,0.858329082,0.703322704
DOID:0050590,0.800355556,0.825666667,0.752044444,0.585133333,0.799422222,0.593155556
DOID:0050591,0.94865,0.8624,0.70205,0.57795,0.9219,0.7476
DOID:0050592,0.90125,0.648125,0.934375,0.69125,0.691875,0.811875
DOID:0050629,0.703333333,0.635555556,0.7,0.69,0.955555556,0.788333333
DOID:0050632,0.645,0.5554,0.7212,0.5648,0.6444,0.613
DOID:0050635,0.781776938,0.717173913,0.570567108,0.554612476,0.782429112,0.724139887
DOID:0050636,0.99125,0.918125,0.875625,0.72875,0.9634375,0.85625
DOID:0050646,0.8856,0.9144,0.894,0.652,0.8286,0.5936
DOID:0050650,0.822892562,0.836900826,0.875826446,0.681528926,0.896446281,0.809876033
DOID:0050656,0.9125,0.9675,0.9575,0.875,0.77,0.965
DOID:0050657,0.6454,0.802288889,0.7202,0.617066667,0.739222222,0.509733333
DOID:0050661,0.738367347,0.801632653,0.858979592,0.657346939,0.843367347,0.647142857
DOID:0050700,0.858577952,0.792564493,0.708415318,0.538294344,0.770938952,0.748090851
DOID:0050709,0.7825,0.721666667,0.633611111,0.594722222,0.74,0.633055556
DOID:0050741,0.801268166,0.796771535,0.716924462,0.551795482,0.751683512,0.736522493
DOID:0050742,0.9336,0.848,0.69,0.6452,0.8508,0.872
DOID:0050745,0.890121631,0.801630506,0.682735043,0.536709402,0.825992768,0.601683103
DOID:0050746,0.8621,0.83185,0.6265,0.6046,0.8443,0.72405
DOID:0050749,0.838828125,0.6765625,0.5715625,0.590078125,0.86375,0.767421875
DOID:0050753,0.7178125,0.724375,0.62625,0.7675,0.6384375,0.9634375
DOID:0050759,0.633333333,0.697777778,0.721111111,0.777777778,0.683333333,0.806111111
DOID:0050771,0.754923469,0.681352041,0.578826531,0.573290816,0.801938776,0.70755102
DOID:0050773,0.875432099,0.792037037,0.739259259,0.565925926,0.699259259,0.726358025
DOID:0050776,0.748431953,0.774230769,0.662692308,0.578668639,0.878934911,0.767130178
DOID:0050777,0.840381944,0.8203125,0.885659722,0.553055556,0.753194444,0.745451389
DOID:0050778,0.777265625,0.690625,0.712109375,0.58078125,0.74828125,0.652890625
DOID:0050811,0.935277778,0.814444444,0.78375,0.62375,0.829166667,0.573333333
DOID:0050817,0.77875,0.96625,0.873125,0.6275,0.9075,0.63625
DOID:0050820,0.873333333,0.630555556,0.594444444,0.703333333,0.706666667,0.717777778
DOID:0050835,0.732222222,0.714444444,0.723333333,0.677777778,0.901111111,0.657777778
DOID:0050836,0.71,0.8675,0.7975,0.87,0.9525,0.9025
DOID:0050854,0.6775,0.835,0.77,0.645,0.7875,0.835
DOID:0050857,0.8025,0.77,0.9225,0.795,0.945,0.98
DOID:0050873,0.709583333,0.657013889,0.664097222,0.583993056,0.791666667,0.590104167
DOID:0050886,0.578367347,0.649693878,0.616836735,0.595,0.623163265,0.807653061
DOID:0050902,0.890946939,0.820734694,0.668004082,0.548240816,0.851273469,0.696963265
DOID:0050905,0.78,0.733333333,0.633333333,0.665,0.717777778,0.845
DOID:0050908,0.887446845,0.865421811,0.803045267,0.629459877,0.836680384,0.700464678
DOID:0050954,0.830277778,0.668888889,0.609722222,0.63,0.865694444,0.721666667
DOID:0050955,0.9466,0.6372,0.6316,0.5954,0.8724,0.7548
DOID:0050956,0.7568,0.6576,0.579,0.6228,0.7726,0.658
DOID:0050958,0.85125,0.611875,0.70375,0.6025,0.8525,0.691875
DOID:0050967,0.898055556,0.866388889,0.652777778,0.581388889,0.842777778,0.978472222
