"do_id","Term","available"
"DOID:0001816","angiosarcoma","T"
"DOID:0014667","disease of metabolism","T"
"DOID:0040084","Streptococcus pneumonia","T"
"DOID:0040085","bacterial sepsis","T"
"DOID:0050120","hemophagocytic lymphohistiocytosis","T"
"DOID:0050127","sinusitis","T"
"DOID:0050144","Kartagener syndrome","T"
"DOID:0050156","idiopathic pulmonary fibrosis","T"
"DOID:0050328","congenital hypothyroidism","T"
"DOID:0050387","nonpapillary renal cell carcinoma","T"
"DOID:0050424","familial adenomatous polyposis","T"
"DOID:0050425","restless legs syndrome","T"
"DOID:0050426","Stevens-Johnson syndrome","T"
"DOID:0050427","xeroderma pigmentosum","T"
"DOID:0050428","nonepidermolytic palmoplantar keratoderma","T"
"DOID:0050429","Hailey-Hailey disease","T"
"DOID:0050439","Usher syndrome","T"
"DOID:0050440","familial partial lipodystrophy","T"
"DOID:0050444","infantile Refsum disease","T"
"DOID:0050449","pachyonychia congenita","T"
"DOID:0050451","Brugada syndrome","T"
"DOID:0050453","lissencephaly","T"
"DOID:0050454","periventricular nodular heterotopia","T"
"DOID:0050458","juvenile myelomonocytic leukemia","T"
"DOID:0050460","Wolf-Hirschhorn syndrome","T"
"DOID:0050466","Loeys-Dietz syndrome","T"
"DOID:0050467","erythrokeratodermia variabilis","T"
"DOID:0050469","Costello syndrome","T"
"DOID:0050475","Weill-Marchesani syndrome","T"
"DOID:0050477","Liddle syndrome","T"
"DOID:0050523","adult T-cell leukemia/lymphoma","T"
"DOID:0050524","maturity-onset diabetes of the young","T"
"DOID:0050534","congenital stationary night blindness","T"
"DOID:0050535","exudative vitreoretinopathy","T"
"DOID:0050539","Charcot-Marie-Tooth disease type 2","T"
"DOID:0050540","Charcot-Marie-Tooth disease type 3","T"
"DOID:0050545","visceral heterotaxy","T"
"DOID:0050557","congenital muscular dystrophy","T"
"DOID:0050559","Fukuyama congenital muscular dystrophy","T"
"DOID:0050560","Walker-Warburg syndrome","T"
"DOID:0050561","Lennox-Gastaut syndrome","T"
"DOID:0050562","West syndrome","T"
"DOID:0050564","autosomal dominant nonsyndromic deafness","T"
"DOID:0050565","autosomal recessive nonsyndromic deafness","T"
"DOID:0050566","X-linked nonsyndromic deafness","T"
"DOID:0050568","spondylocostal dysostosis","T"
"DOID:0050569","Seckel syndrome","T"
"DOID:0050572","cone-rod dystrophy","T"
"DOID:0050576","Senior-Loken syndrome","T"
"DOID:0050580","hereditary lymphedema","T"
"DOID:0050588","muscular dystrophy-dystroglycanopathy type B1","T"
"DOID:0050589","inflammatory bowel disease","T"
"DOID:0050590","severe congenital neutropenia","T"
"DOID:0050591","tooth agenesis","T"
"DOID:0050592","asphyxiating thoracic dystrophy","T"
"DOID:0050597","intestinal schistosomiasis","T"
"DOID:0050629","Aicardi-Goutieres syndrome","T"
"DOID:0050632","oculocutaneous albinism","T"
"DOID:0050635","alternating hemiplegia of childhood","T"
"DOID:0050636","familial visceral amyloidosis","T"
"DOID:0050646","distal arthrogryposis","T"
"DOID:0050650","familial atrial fibrillation","T"
"DOID:0050656","pseudo-TORCH syndrome 1","T"
"DOID:0050657","Bannayan-Riley-Ruvalcaba syndrome","T"
"DOID:0050661","vitelliform macular dystrophy","T"
"DOID:0050700","cardiomyopathy","T"
"DOID:0050709","early infantile epileptic encephalopathy","T"
"DOID:0050741","alcohol dependence","T"
