Approved symbol	Approved name	Chromosome	NCBI Gene ID
A1BG	alpha-1-B glycoprotein	19q13.43	1
A1BG-AS1	A1BG antisense RNA 1	19q13.43	503538
A1CF	APOBEC1 complementation factor	10q11.23	29974
A2M	alpha-2-macroglobulin	12p13.31	2
A2M-AS1	A2M antisense RNA 1	12p13.31	144571
A2ML1	alpha-2-macroglobulin like 1	12p13.31	144568
A2ML1-AS1	A2ML1 antisense RNA 1	12p13.31	
A2ML1-AS2	A2ML1 antisense RNA 2	12p13.31	
A2MP1	alpha-2-macroglobulin pseudogene 1	12p13.31	3
A3GALT2	alpha 1,3-galactosyltransferase 2	1p35.1	127550
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	22q13.2	53947
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	3q22.3	51146
AAAS	aladin WD repeat nucleoporin	12q13.13	8086
AACS	acetoacetyl-CoA synthetase	12q24.31	65985
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	5q35.3	729522
AADAC	arylacetamide deacetylase	3q25.1	13
AADACL2	arylacetamide deacetylase like 2	3q25.1	344752
AADACL2-AS1	AADACL2 antisense RNA 1	3q25.1	101928142
AADACL3	arylacetamide deacetylase like 3	1p36.21	126767
AADACL4	arylacetamide deacetylase like 4	1p36.21	343066
AADACP1	arylacetamide deacetylase pseudogene 1	3q25.1	201651
AADAT	aminoadipate aminotransferase	4q33	51166
AAGAB	alpha and gamma adaptin binding protein	15q23	79719
AAK1	AP2 associated kinase 1	2p13.3	22848
AAMDC	adipogenesis associated Mth938 domain containing	11q14.1	28971
AAMP	angio associated migratory cell protein	2q35	14
AANAT	aralkylamine N-acetyltransferase	17q25.1	15
AAR2	AAR2 splicing factor	20q11.23	25980
AARD	alanine and arginine rich domain containing protein	8q24.11	441376
AARS1	alanyl-tRNA synthetase 1	16q22.1	16
AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	4q28.3	106480683
AARS2	alanyl-tRNA synthetase 2, mitochondrial	6p21.1	57505
AARSD1	alanyl-tRNA synthetase domain containing 1	17q21.31	80755
AARSD1P1	AARSD1 pseudogene 1	Xq13.2	
AASDH	aminoadipate-semialdehyde dehydrogenase	4q12	132949
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	11q22.3	60496
AASS	aminoadipate-semialdehyde synthase	7q31.32	10157
AATBC	apoptosis associated transcript in bladder cancer	21q22.3	284837
AATF	apoptosis antagonizing transcription factor	17q12	26574
AATK	apoptosis associated tyrosine kinase	17q25.3	9625
AAVS1	adeno-associated virus integration site 1	19q13	17
ABALON	apoptotic BCL2L1-antisense long non-coding RNA	20q11.21	103021294
ABAT	4-aminobutyrate aminotransferase	16p13.2	18
ABCA1	ATP binding cassette subfamily A member 1	9q31.1	19
ABCA2	ATP binding cassette subfamily A member 2	9q34.3	20
ABCA3	ATP binding cassette subfamily A member 3	16p13.3	21
ABCA3P1	ABCA3 pseudogene 1	16p12.2	342293
ABCA4	ATP binding cassette subfamily A member 4	1p22.1	24
ABCA5	ATP binding cassette subfamily A member 5	17q24.3	23461
ABCA6	ATP binding cassette subfamily A member 6	17q24.2-q24.3	23460
ABCA7	ATP binding cassette subfamily A member 7	19p13.3	10347
ABCA8	ATP binding cassette subfamily A member 8	17q24.2	10351
ABCA9	ATP binding cassette subfamily A member 9	17q24.2	10350
ABCA9-AS1	ABCA9 antisense RNA 1	17q24.2	
ABCA10	ATP binding cassette subfamily A member 10	17q24.3	10349
ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	4p16.3	79963
ABCA12	ATP binding cassette subfamily A member 12	2q35	26154
ABCA13	ATP binding cassette subfamily A member 13	7p12.3	154664
ABCA15P	ATP binding cassette subfamily A member 15, pseudogene	16p12.2	400508
ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	16p13.3	650655
ABCB1	ATP binding cassette subfamily B member 1	7q21.12	5243
ABCB4	ATP binding cassette subfamily B member 4	7q21.12	5244
ABCB5	ATP binding cassette subfamily B member 5	7p21.1	340273
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	2q35	10058
ABCB7	ATP binding cassette subfamily B member 7	Xq13.3	22
ABCB8	ATP binding cassette subfamily B member 8	7q36.1	11194
ABCB9	ATP binding cassette subfamily B member 9	12q24.31	23457
ABCB10	ATP binding cassette subfamily B member 10	1q42.13	23456
ABCB10P1	ABCB10 pseudogene 1	15q11.2	56476
ABCB10P3	ABCB10 pseudogene 3	15q13.1	728248
ABCB10P4	ABCB10 pseudogene 4	15q13.1	100132289
ABCB11	ATP binding cassette subfamily B member 11	2q31.1	8647
ABCC1	ATP binding cassette subfamily C member 1	16p13.11	4363
ABCC2	ATP binding cassette subfamily C member 2	10q24.2	1244
ABCC3	ATP binding cassette subfamily C member 3	17q21.33	8714
ABCC4	ATP binding cassette subfamily C member 4	13q32.1	10257
ABCC5	ATP binding cassette subfamily C member 5	3q27.1	10057
ABCC5-AS1	ABCC5 antisense RNA 1	3q27.1	
ABCC6	ATP binding cassette subfamily C member 6	16p13.11	368
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	16p12.3	653190
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	16p13.11	730013
ABCC8	ATP binding cassette subfamily C member 8	11p15.1	6833
ABCC9	ATP binding cassette subfamily C member 9	12p12.1	10060
ABCC10	ATP binding cassette subfamily C member 10	6p21.1	89845
ABCC11	ATP binding cassette subfamily C member 11	16q12.1	85320
ABCC12	ATP binding cassette subfamily C member 12	16q12.1	94160
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	21q11.2	150000
ABCD1	ATP binding cassette subfamily D member 1	Xq28	215
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	2p11.2	23785
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	10p11.1	26983
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	16p11.2	26982
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	22q11.1	26957
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	2p11.1	642762
ABCD2	ATP binding cassette subfamily D member 2	12q12	225
ABCD3	ATP binding cassette subfamily D member 3	1p21.3	5825
ABCD4	ATP binding cassette subfamily D member 4	14q24.3	5826
ABCE1	ATP binding cassette subfamily E member 1	4q31.21	6059
ABCF1	ATP binding cassette subfamily F member 1	6p21.33	23
ABCF1-DT	ABCF1 divergent transcript	6p21.33	107986587
ABCF2	ATP binding cassette subfamily F member 2	7q36.1	10061
ABCF2-H2BK1	ABCF2-H2BK1 readthrough	7q36.1	114483834
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	3p11.1	344653
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	7q11.22	100422059
ABCF3	ATP binding cassette subfamily F member 3	3q27.1	55324
ABCG1	ATP binding cassette subfamily G member 1	21q22.3	9619
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	4q22.1	9429
ABCG4	ATP binding cassette subfamily G member 4	11q23.3	64137
ABCG5	ATP binding cassette subfamily G member 5	2p21	64240
ABCG8	ATP binding cassette subfamily G member 8	2p21	64241
ABHD1	abhydrolase domain containing 1	2p23.3	84696
ABHD2	abhydrolase domain containing 2, acylglycerol lipase	15q26.1	11057
